File1,,,File2,,,,,,,,,,,,,
Lat,Lon,Time,Lat,Lon,Time,,,dLat,dLng,a,c,dist,Time,,,
52.24198697,6.852360321,20:06:33,52.241993,6.852359,20:06:35,,-2.314814815,1.05E-07,-2.31E-08,2.82E-15,1.06E-07,0.67636448,-00:00:02,-00:00:02,-2.00,-2
52.24197054,6.852406254,20:06:34,52.241993,6.852414,20:06:36,,-2.314814815,3.92E-07,1.35E-07,4.01E-14,4.01E-07,2.552212344,-00:00:02,-00:00:02,-2.00,
52.24195017,6.852528043,20:06:36,52.241993,6.852534,20:06:38,,-2.314814815,7.47E-07,1.04E-07,1.41E-13,7.50E-07,4.779187389,-00:00:02,-00:00:02,-2.00,
52.24195152,6.852581268,20:06:37,52.241994,6.852473,20:06:37,,0,7.41E-07,-1.89E-06,4.72E-13,1.37E-06,8.75550504,00:00:00,00:00:00,0.00,
52.24195437,6.852637175,20:06:38,52.241984,6.852653,20:06:40,,-2.314814815,5.17E-07,2.76E-07,7.40E-14,5.44E-07,3.46685982,-00:00:02,-00:00:02,-2.00,
52.2419552,6.852695094,20:06:39,52.24199,6.852593,20:06:39,,0,6.07E-07,-1.78E-06,3.90E-13,1.25E-06,7.955626835,00:00:00,00:00:00,0.00,
52.24195076,6.852753935,20:06:40,52.24197,6.852766,20:06:42,,-2.314814815,3.36E-07,2.11E-07,3.23E-14,3.60E-07,2.291517014,-00:00:02,-00:00:02,-2.00,
52.24194406,6.852812776,20:06:41,52.241977,6.85271,20:06:41,,0,5.75E-07,-1.79E-06,3.84E-13,1.24E-06,7.898637549,00:00:00,00:00:00,0.00,
52.24193668,6.852869857,20:06:42,52.241958,6.852874,20:06:44,,-2.314814815,3.72E-07,7.23E-08,3.51E-14,3.75E-07,2.387406694,-00:00:02,-00:00:02,-2.00,
52.24193333,6.85292392,20:06:43,52.241964,6.852821,20:06:43,,0,5.35E-07,-1.80E-06,3.74E-13,1.22E-06,7.793548984,00:00:00,00:00:00,0.00,
52.24193106,6.852977565,20:06:44,52.241949,6.85298,20:06:46,,-2.314814815,3.13E-07,4.25E-08,2.47E-14,3.14E-07,2.001268036,-00:00:02,-00:00:02,-2.00,
52.24192813,6.853030957,20:06:45,52.241953,6.852927,20:06:45,,0,4.34E-07,-1.81E-06,3.56E-13,1.19E-06,7.599247639,00:00:00,00:00:00,0.00,
52.24192427,6.853085943,20:06:46,52.241937,6.853086,20:06:48,,-2.314814815,2.22E-07,1.00E-09,1.23E-14,2.22E-07,1.41499278,-00:00:02,-00:00:02,-2.00,
52.24191866,6.853138246,20:06:47,52.241943,6.853033,20:06:47,,0,4.25E-07,-1.84E-06,3.61E-13,1.20E-06,7.660063366,00:00:00,00:00:00,0.00,
52.24191153,6.853190968,20:06:48,52.241922,6.853192,20:06:50,,-2.314814815,1.83E-07,1.80E-08,8.37E-15,1.83E-07,1.165861837,-00:00:02,-00:00:02,-2.00,
52.24190558,6.853243522,20:06:49,52.24193,6.853138,20:06:49,,0,4.26E-07,-1.84E-06,3.63E-13,1.21E-06,7.680667251,00:00:00,00:00:00,0.00,
52.24189938,6.853294317,20:06:50,52.241909,6.853299,20:06:52,,-2.314814815,1.68E-07,8.17E-08,7.67E-15,1.75E-07,1.116163558,-00:00:02,-00:00:02,-2.00,
52.24189234,6.853344021,20:06:51,52.241916,6.853245,20:06:51,,0,4.13E-07,-1.73E-06,3.23E-13,1.14E-06,7.23728776,00:00:00,00:00:00,0.00,
52.24188714,6.853397833,20:06:52,52.241898,6.853408,20:06:54,,-2.314814815,1.89E-07,1.77E-07,1.19E-14,2.18E-07,1.391639487,-00:00:02,-00:00:02,-2.00,
52.24188186,6.853448544,20:06:53,52.241904,6.853354,20:06:53,,0,3.86E-07,-1.65E-06,2.93E-13,1.08E-06,6.891884732,00:00:00,00:00:00,0.00,
52.24187599,6.853500595,20:06:54,52.241883,6.853512,20:06:56,,-2.314814815,1.22E-07,1.99E-07,7.45E-15,1.73E-07,1.099868514,-00:00:02,-00:00:02,-2.00,
52.24187004,6.853551976,20:06:55,52.24189,6.853461,20:06:55,,0,3.48E-07,-1.59E-06,2.67E-13,1.03E-06,6.57986181,00:00:00,00:00:00,0.00,
52.24186577,6.853598747,20:06:56,52.241873,6.853617,20:06:58,,-2.314814815,1.26E-07,3.19E-07,1.35E-14,2.32E-07,1.480202096,-00:00:02,-00:00:02,-2.00,
52.24186108,6.853649458,20:06:57,52.241877,6.853563,20:06:57,,0,2.78E-07,-1.51E-06,2.33E-13,9.65E-07,6.147301145,00:00:00,00:00:00,0.00,
52.24185613,6.853698827,20:06:58,52.241864,6.853723,20:07:00,,-2.314814815,1.37E-07,4.22E-07,2.14E-14,2.93E-07,1.864059747,-00:00:02,-00:00:02,-2.00,
52.24185152,6.853748783,20:06:59,52.241867,6.85367,20:06:59,,0,2.70E-07,-1.38E-06,1.95E-13,8.84E-07,5.633616583,00:00:00,00:00:00,0.00,
52.24184733,6.853802511,20:07:00,52.241855,6.853828,20:07:02,,-2.314814815,1.34E-07,4.45E-07,2.30E-14,3.04E-07,1.933759877,-00:00:02,-00:00:02,-2.00,
52.24184238,6.853856072,20:07:01,52.241859,6.853776,20:07:01,,0,2.90E-07,-1.40E-06,2.04E-13,9.04E-07,5.756508707,00:00:00,00:00:00,0.00,
52.24183526,6.853907621,20:07:02,52.241848,6.853933,20:07:04,,-2.314814815,2.22E-07,4.43E-07,3.08E-14,3.51E-07,2.234564335,-00:00:02,-00:00:02,-2.00,
52.24183006,6.853960427,20:07:03,52.241852,6.853882,20:07:03,,0,3.83E-07,-1.37E-06,2.12E-13,9.21E-07,5.870702272,00:00:00,00:00:00,0.00,
52.24182394,6.854012897,20:07:04,52.241839,6.854033,20:07:06,,-2.314814815,2.63E-07,3.51E-07,2.88E-14,3.39E-07,2.162527335,-00:00:02,-00:00:02,-2.00,
52.24181891,6.854063943,20:07:05,52.241843,6.853982,20:07:05,,0,4.20E-07,-1.43E-06,2.36E-13,9.71E-07,6.188849115,00:00:00,00:00:00,0.00,
52.24181397,6.854116665,20:07:06,52.241828,6.854132,20:07:08,,-2.314814815,2.45E-07,2.68E-07,2.17E-14,2.95E-07,1.877331496,-00:00:02,-00:00:02,-2.00,
52.24180902,6.854166789,20:07:07,52.241833,6.854082,20:07:07,,0,4.18E-07,-1.48E-06,2.49E-13,9.98E-07,6.358986238,00:00:00,00:00:00,0.00,
52.24180433,6.854216661,20:07:08,52.241816,6.85423,20:07:10,,-2.314814815,2.04E-07,2.33E-07,1.55E-14,2.49E-07,1.583922944,-00:00:02,-00:00:02,-2.00,
52.24179737,6.854265528,20:07:09,52.241823,6.854181,20:07:09,,0,4.47E-07,-1.48E-06,2.54E-13,1.01E-06,6.42216468,00:00:00,00:00:00,0.00,
52.24179109,6.854315903,20:07:10,52.241804,6.854329,20:07:12,,-2.314814815,2.25E-07,2.29E-07,1.76E-14,2.65E-07,1.690307277,-00:00:02,-00:00:02,-2.00,
52.24178463,6.854365943,20:07:11,52.241811,6.85428,20:07:11,,0,4.60E-07,-1.50E-06,2.64E-13,1.03E-06,6.545127964,00:00:00,00:00:00,0.00,
52.24177851,6.854414474,20:07:12,52.241797,6.854422,20:07:14,,-2.314814815,3.23E-07,1.31E-07,2.76E-14,3.33E-07,2.118518359,-00:00:02,-00:00:02,-2.00,
52.24177139,6.854462419,20:07:13,52.241801,6.854376,20:07:13,,0,5.17E-07,-1.51E-06,2.80E-13,1.06E-06,6.742680143,00:00:00,00:00:00,0.00,
52.24176301,6.854512123,20:07:14,52.241782,6.854517,20:07:16,,-2.314814815,3.31E-07,8.51E-08,2.82E-14,3.36E-07,2.137879106,-00:00:02,-00:00:02,-2.00,
52.24175094,6.854559816,20:07:15,52.24179,6.854471,20:07:15,,0,6.82E-07,-1.55E-06,3.41E-13,1.17E-06,7.445622018,00:00:00,00:00:00,0.00,
52.24174188,6.854608767,20:07:16,52.241774,6.854606,20:07:18,,-2.314814815,5.61E-07,-4.83E-08,7.88E-14,5.61E-07,3.576046005,-00:00:02,-00:00:02,-2.00,
